num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
34,"(0, 1, 2, 3, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 31, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 69, 72)",[0.96126623 0.9633642  0.96886997 0.94687035 0.93937083],0.9559483171751433,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_5_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_chi_z', 'Timespan')",0.014167002972597735,0.011022409616530164,0.005511204808265082
35,"(0, 1, 2, 3, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 31, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 64, 69, 72)",[0.96137855 0.96518897 0.96713162 0.94687035 0.93574873],0.9552636433125776,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_5_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_beta_Y', 'SPM_chi_z', 'Timespan')",0.015509286099968671,0.01206675149179178,0.006033375745895889
33,"(0, 1, 2, 3, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 69, 72)",[0.95974497 0.96518897 0.95795405 0.94479119 0.94480409],0.9544966560725063,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_chi_z', 'Timespan')",0.01062937808730653,0.008270017269981498,0.004135008634990749
37,"(0, 1, 2, 3, 7, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 31, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 63, 64, 69, 72)",[0.95947484 0.96518897 0.96718441 0.9411977  0.93929484],0.9544681522830357,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_5_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_beta_Y', 'SPM_chi_z', 'Timespan')",0.015294858528088432,0.011899919555996076,0.005949959777998038
36,"(0, 1, 2, 3, 7, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 31, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 64, 69, 72)",[0.96136415 0.96518897 0.96530746 0.94306308 0.93574873],0.9541344769232604,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_5_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_beta_Y', 'SPM_chi_z', 'Timespan')",0.01584526720907595,0.012328156209159287,0.0061640781045796435
32,"(1, 2, 3, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 69, 72)",[0.95043087 0.96692454 0.96525245 0.94625039 0.94113105],0.9539978610267961,"('r-i', 'i-z', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_chi_z', 'Timespan')",0.013258648356801284,0.010315678865379737,0.0051578394326898674
38,"(0, 1, 2, 3, 7, 10, 11, 13, 18, 20, 22, 23, 24, 25, 28, 30, 31, 32, 33, 36, 37, 38, 40, 41, 43, 45, 46, 48, 51, 53, 56, 61, 62, 63, 64, 69, 70, 72)",[0.95757027 0.96330883 0.96157076 0.93932936 0.93746252],0.9518483493683574,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Harmonics_mse_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_5_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'Harmonics_phase_2_z', 'Harmonics_phase_3_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'Harmonics_phase_7_z', 'SPM_gamma_g', 'SPM_tau_rise_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_beta_Y', 'SPM_chi_z', 'positive_fraction_g', 'Timespan')",0.014338747837628342,0.011156032956312376,0.005578016478156188
17,"(1, 2, 3, 11, 20, 24, 25, 28, 30, 32, 36, 51, 53, 56, 61, 62, 72)",[0.95417267 0.95959171 0.95974573 0.94723719 0.93753754],0.9516569671863835,"('r-i', 'i-z', 'Multiband_period', 'delta_period_i', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'Timespan')",0.010808823300444617,0.008409631742199745,0.0042048158710998726
12,"(1, 2, 3, 11, 20, 24, 25, 28, 30, 36, 62, 72)",[0.9504659  0.9596012  0.96160749 0.94904071 0.93751048],0.9516451549686931,"('r-i', 'i-z', 'Multiband_period', 'delta_period_i', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_z', 'SPM_A_Y', 'Timespan')",0.011064102134443666,0.008608247347787621,0.00430412367389381
14,"(1, 2, 3, 11, 20, 24, 25, 28, 30, 36, 51, 56, 62, 72)",[0.9504659  0.9596012  0.96160749 0.94904071 0.93751048],0.9516451549686931,"('r-i', 'i-z', 'Multiband_period', 'delta_period_i', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_z', 'SPM_tau_fall_r', 'SPM_tau_fall_i', 'SPM_A_Y', 'Timespan')",0.011064102134443666,0.008608247347787621,0.00430412367389381
