feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(1, 2, 3, 9, 10, 11)",[0.9096974  0.91024956 0.88544419 0.91182828 0.92288821],0.9080215272339217,"('SPM_A_Y', 'Multiband_period', 'r-i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.015773178752488997,0.012272068940831484,0.006136034470415742
"(1, 2, 9, 10, 11)",[0.90815946 0.91422066 0.88746757 0.91184931 0.91793332],0.9079260644492242,"('SPM_A_Y', 'Multiband_period', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.013768378832342958,0.010712266492721695,0.005356133246360847
"(1, 2, 4, 9, 10, 11)",[0.90982441 0.90482127 0.8910399  0.90272007 0.9192301 ],0.9055271495816359,"('SPM_A_Y', 'Multiband_period', 'i-z', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01184276094346667,0.009214070355037072,0.004607035177518536
"(1, 2, 3, 8, 9, 10, 11)",[0.90971822 0.90296946 0.88166743 0.91363683 0.91916654],0.9054316949675713,"('SPM_A_Y', 'Multiband_period', 'r-i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01671024003131951,0.013001134451090612,0.006500567225545305
"(1, 2, 3, 5, 8, 9, 10, 11)",[0.90971822 0.90296946 0.87995167 0.91363683 0.91916654],0.9050885432549978,"('SPM_A_Y', 'Multiband_period', 'r-i', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.017520076154544734,0.013631214467994455,0.006815607233997227
"(1, 2, 3, 5, 9, 10, 11)",[0.9096974  0.90461502 0.87995167 0.91004958 0.91927009],0.9047167502261575,"('SPM_A_Y', 'Multiband_period', 'r-i', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.017035464451496046,0.013254170099026736,0.006627085049513368
"(1, 2, 5, 9, 10, 11)",[0.90815946 0.90662406 0.88192373 0.90824087 0.91248178],0.9034859776225656,"('SPM_A_Y', 'Multiband_period', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.0140814514710255,0.010955847641815938,0.005477923820907969
"(1, 2, 8, 9, 10, 11)",[0.90631186 0.90486017 0.88362019 0.90996052 0.91228702],0.9034079487520099,"('SPM_A_Y', 'Multiband_period', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.013156144438142628,0.010235927334237928,0.005117963667118964
"(1, 2, 5, 8, 9, 10, 11)",[0.90631186 0.90486017 0.88192373 0.90996052 0.91228702],0.9030686562698957,"('SPM_A_Y', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.014000963812640656,0.010893225509138403,0.0054466127545692005
"(1, 2, 3, 4, 9, 10, 11)",[0.90962283 0.89756986 0.88571985 0.90098152 0.92113553],0.9030059193060342,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.015261155286601385,0.011873697289099289,0.0059368486445496435
"(0, 1, 2, 9, 10, 11)",[0.89919518 0.91068058 0.88764411 0.90476214 0.91192257],0.902840915178766,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01137845006675394,0.008852820718650534,0.004426410359325266
"(0, 1, 2, 3, 9, 10, 11)",[0.89721668 0.90850178 0.88715488 0.90470985 0.91524719],0.9025660730464132,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.012418332106291471,0.009661884273929349,0.004830942136964674
"(1, 3, 5, 8, 9, 10, 11)",[0.90182353 0.9009872  0.87779098 0.92108075 0.9090693 ],0.9021503512676047,"('SPM_A_Y', 'r-i', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.018186483885528213,0.014149702322957858,0.007074851161478928
"(1, 3, 4, 5, 8, 9, 10, 11)",[0.91333755 0.89020504 0.88575459 0.90975365 0.91116365],0.9020428993568794,"('SPM_A_Y', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.014940995612921464,0.01162460218600511,0.005812301093002555
"(0, 1, 2, 4, 9, 10, 11)",[0.89736495 0.90308057 0.89118974 0.89921064 0.91525639],0.9012204583237698,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'i-z', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01028211930349257,0.00799983813854918,0.003999919069274589
"(1, 2, 4, 5, 9, 10, 11)",[0.90982441 0.89729426 0.88549436 0.89914546 0.91380782],0.901113262251576,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01284574549060837,0.009994426407691917,0.004997213203845959
"(1, 2, 4, 8, 9, 10, 11)",[0.90800875 0.89565501 0.88721082 0.90087671 0.91367174],0.9010846061076624,"('SPM_A_Y', 'Multiband_period', 'i-z', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.011896896875602596,0.009256189949430399,0.0046280949747151984
"(1, 2, 4, 5, 8, 9, 10, 11)",[0.90800875 0.89565501 0.88549436 0.90087671 0.91367174],0.9007413145787833,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.012571824190266045,0.009781306329937598,0.004890653164968799
"(1, 3, 5, 9, 10, 11)",[0.90192031 0.90076227 0.87578901 0.91552835 0.90926266],0.9006525203602707,"('SPM_A_Y', 'r-i', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01738935741982192,0.013529510851396342,0.006764755425698171
"(1, 3, 4, 5, 9, 10, 11)",[0.91340409 0.88991254 0.88372853 0.90420624 0.91135247],0.900520775921408,"('SPM_A_Y', 'r-i', 'i-z', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.015114084632602682,0.01175927132377125,0.005879635661885624
"(1, 2, 3, 4, 8, 9, 10, 11)",[0.90967451 0.89038528 0.88195434 0.90281    0.91746172],0.9004571672886279,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01649431889438195,0.012833140470938555,0.006416570235469277
"(0, 1, 2, 3, 8, 9, 10, 11)",[0.89724308 0.90310354 0.88338552 0.90654755 0.91152535],0.9003610073624351,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.012439142845184019,0.009678075735803114,0.004839037867901556
"(1, 2, 3, 4, 5, 8, 9, 10, 11)",[0.90967451 0.89038528 0.88023321 0.90281    0.91746172],0.9001129406707016,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.017143188620320028,0.013337983162147769,0.0066689915810738834
