num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
17,"(0, 1, 2, 3, 7, 10, 11, 17, 20, 28, 32, 42, 44, 57, 60, 62, 65)",[0.90308272 0.90098616 0.89094389 0.89908642 0.90732055],0.9002839466398296,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_6_i', 'SPM_A_g', 'SPM_beta_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y', 'SPM_tau_rise_Y')",0.006957466771150045,0.0054131455180284616,0.0027065727590142308
16,"(0, 1, 2, 3, 7, 10, 11, 17, 20, 28, 42, 44, 57, 60, 62, 65)",[0.90308272 0.90098616 0.89094389 0.89908642 0.90732055],0.9002839466398296,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'SPM_A_g', 'SPM_beta_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y', 'SPM_tau_rise_Y')",0.006957466771150045,0.0054131455180284616,0.0027065727590142308
15,"(0, 1, 2, 3, 7, 10, 11, 17, 20, 28, 42, 57, 60, 62, 65)",[0.90124028 0.90098616 0.88905622 0.90092067 0.90908488],0.9002576430891264,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'SPM_A_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y', 'SPM_tau_rise_Y')",0.008236455786138224,0.006408242423528522,0.0032041212117642605
18,"(0, 1, 2, 3, 7, 10, 11, 17, 20, 28, 32, 33, 42, 44, 57, 60, 62, 65)",[0.90308272 0.89909224 0.89285907 0.89719875 0.90732055],0.8999106638503044,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'SPM_A_g', 'SPM_beta_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y', 'SPM_tau_rise_Y')",0.006367515056390954,0.004954143041172435,0.0024770715205862173
14,"(0, 1, 2, 3, 7, 10, 11, 17, 20, 28, 42, 57, 60, 62)",[0.89939393 0.89909224 0.89094506 0.8990371  0.9108206 ],0.899857786032648,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'SPM_A_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y')",0.008151111856949375,0.006341841947180548,0.003170920973590274
12,"(0, 1, 2, 10, 11, 17, 20, 28, 42, 57, 60, 62)",[0.89905749 0.90282023 0.89076784 0.89892155 0.90645003],0.8996034280952652,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'SPM_A_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y')",0.0067045966089189345,0.005216403940907253,0.0026082019704536264
19,"(0, 1, 2, 3, 7, 10, 11, 13, 17, 20, 28, 32, 33, 42, 44, 57, 60, 62, 65)",[0.89926869 0.90869623 0.88527608 0.90084592 0.90273756],0.8993648948581541,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'SPM_A_g', 'SPM_beta_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y', 'SPM_tau_rise_Y')",0.009941638881856658,0.007734932803176628,0.0038674664015883138
13,"(0, 1, 2, 3, 10, 11, 17, 20, 28, 42, 57, 60, 62)",[0.89748178 0.89909224 0.8928295  0.89525813 0.91077483],0.899087296701247,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'SPM_A_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y')",0.007985343515223595,0.006212868545573401,0.0031064342727867003
20,"(0, 1, 2, 3, 7, 10, 11, 13, 17, 20, 25, 28, 32, 33, 42, 44, 57, 60, 62, 65)",[0.89926869 0.90684397 0.8834054  0.90084592 0.90281665],0.8986361261080615,"('g-r', 'r-i', 'i-z', 'Multiband_period', 'SPM_t0_Y', 'Period_band_i', 'delta_period_i', 'Power_rate_1_3', 'Power_rate_4', 'Harmonics_phase_2_r', 'Harmonics_phase_7_r', 'Harmonics_phase_2_i', 'Harmonics_phase_6_i', 'Harmonics_phase_7_i', 'SPM_A_g', 'SPM_beta_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y', 'SPM_tau_rise_Y')",0.010316073173227271,0.008026255402737381,0.004013127701368691
11,"(0, 1, 2, 10, 11, 17, 28, 42, 57, 60, 62)",[0.89881354 0.90086357 0.88494727 0.90061275 0.90432453],0.8979123296247632,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'Power_rate_4', 'Harmonics_phase_2_i', 'SPM_A_g', 'SPM_A_z', 'SPM_tau_rise_z', 'SPM_A_Y')",0.008641577180604657,0.0067234406318486635,0.0033617203159243313
