num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
23,"(0, 1, 2, 10, 15, 20, 24, 27, 28, 30, 32, 36, 38, 40, 43, 44, 49, 53, 58, 61, 62, 63, 69)",[0.96530502 0.94868129 0.95025619 0.94836866 0.95054532],0.9526312964613568,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.008217592811634486,0.006393566388521786,0.003196783194260893
18,"(0, 1, 2, 10, 15, 20, 28, 30, 32, 36, 40, 44, 49, 53, 61, 62, 63, 69)",[0.96158339 0.95423149 0.95030406 0.95203597 0.94499789],0.9526305586306902,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.006962905885583728,0.005417377333844073,0.002708688666922036
24,"(0, 1, 2, 10, 15, 20, 24, 27, 28, 30, 32, 36, 38, 40, 43, 44, 49, 53, 56, 58, 61, 62, 63, 69)",[0.96708829 0.94685871 0.95025619 0.94833272 0.95054532],0.9526162459822702,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.00945884102011229,0.007359299664366357,0.003679649832183178
17,"(0, 1, 2, 10, 15, 20, 28, 30, 32, 36, 40, 44, 49, 53, 62, 63, 69)",[0.96342931 0.95250387 0.94849033 0.95205403 0.94499789],0.9522950855659673,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.007960465666935933,0.00619351273441596,0.00309675636720798
19,"(0, 1, 2, 10, 15, 20, 28, 30, 32, 36, 40, 44, 49, 53, 58, 61, 62, 63, 69)",[0.96158339 0.95250387 0.95030406 0.95203597 0.94499789],0.9522850334614308,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.006887912620876537,0.005359030026111987,0.0026795150130559933
15,"(0, 1, 2, 10, 15, 20, 28, 30, 32, 36, 40, 44, 62, 63, 69)",[0.96523097 0.9544125  0.94313299 0.95381533 0.94318747],0.9519558508593361,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.010605775996024044,0.008251654041116122,0.004125827020558061
16,"(0, 1, 2, 10, 15, 20, 28, 30, 32, 36, 40, 44, 53, 62, 63, 69)",[0.96523097 0.9544125  0.94313299 0.95381533 0.94318747],0.9519558508593361,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_gamma_i', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.010605775996024044,0.008251654041116122,0.004125827020558061
20,"(0, 1, 2, 10, 15, 20, 27, 28, 30, 32, 36, 40, 44, 49, 53, 58, 61, 62, 63, 69)",[0.96158339 0.95250387 0.95030406 0.95203597 0.94318467],0.9519223900066518,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.0075527127083114,0.005876267079777154,0.002938133539888577
21,"(0, 1, 2, 10, 15, 20, 24, 27, 28, 30, 32, 36, 40, 44, 49, 53, 58, 61, 62, 63, 69)",[0.96342931 0.95250387 0.94843955 0.95203597 0.94316782],0.9519153026019952,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.008555304205384875,0.006656317326125602,0.0033281586630628007
22,"(0, 1, 2, 10, 15, 20, 24, 27, 28, 30, 32, 36, 40, 43, 44, 49, 53, 58, 61, 62, 63, 69)",[0.96342931 0.95250387 0.94843955 0.95203597 0.94316782],0.9519153026019952,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.008555304205384875,0.006656317326125602,0.0033281586630628007
25,"(0, 1, 2, 10, 15, 20, 24, 27, 28, 30, 32, 36, 38, 40, 43, 44, 48, 49, 53, 56, 58, 61, 62, 63, 69)",[0.96708829 0.94685871 0.94846294 0.94833272 0.94873142],0.9518948153137471,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.009799909659542486,0.007624662653166728,0.003812331326583363
14,"(0, 1, 2, 10, 15, 20, 28, 30, 32, 36, 40, 62, 63, 69)",[0.95793094 0.95240294 0.94490711 0.95571112 0.94502958],0.9511963377710801,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.006916187775971372,0.005381029057384091,0.002690514528692046
26,"(0, 1, 2, 10, 15, 19, 20, 24, 27, 28, 30, 32, 36, 38, 40, 43, 44, 48, 49, 53, 56, 58, 61, 62, 63, 69)",[0.96710012 0.94685871 0.94672484 0.94833272 0.94691773],0.9511868241290624,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_chi_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.010254105899974884,0.007978042758896733,0.0039890213794483665
27,"(0, 1, 2, 10, 15, 19, 20, 24, 27, 28, 30, 32, 34, 36, 38, 40, 43, 44, 48, 49, 53, 56, 58, 61, 62, 63, 69)",[0.96702551 0.94866754 0.94305185 0.94657654 0.94876142],0.9508165725659226,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_chi_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_mse_z', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.010751066083332485,0.008364694665066905,0.0041823473325334525
29,"(0, 1, 2, 10, 15, 19, 20, 24, 27, 28, 30, 32, 34, 36, 38, 40, 43, 44, 48, 49, 53, 56, 58, 59, 61, 62, 63, 64, 69)",[0.96523644 0.94101785 0.94652988 0.94477241 0.95215391],0.9499420978080938,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_chi_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_mse_z', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_beta_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_beta_Y', 'SPM_chi_z')",0.010857780773845025,0.008447722319766041,0.004223861159883021
28,"(0, 1, 2, 10, 15, 19, 20, 24, 27, 28, 30, 32, 34, 36, 38, 40, 43, 44, 48, 49, 53, 56, 58, 59, 61, 62, 63, 69)",[0.96702551 0.940966   0.94652988 0.94477241 0.95038468],0.9499356975417067,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_chi_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_mse_z', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_beta_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.011652677803118886,0.009066179214041181,0.00453308960702059
13,"(0, 1, 2, 10, 15, 20, 28, 30, 36, 40, 62, 63, 69)",[0.9596923  0.94689392 0.94306555 0.95752338 0.94136378],0.9497077870509256,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.009659944043934806,0.007515764649090515,0.003757882324545257
12,"(0, 1, 2, 10, 15, 20, 28, 36, 40, 62, 63, 69)",[0.9633851  0.93933902 0.94663785 0.95939362 0.9395054 ],0.9496521977122907,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_chi_z')",0.012877217589570276,0.01001891276990424,0.00500945638495212
30,"(0, 1, 2, 10, 15, 19, 20, 24, 27, 28, 30, 32, 34, 36, 38, 40, 43, 44, 46, 48, 49, 53, 56, 58, 59, 61, 62, 63, 64, 69)",[0.96523644 0.94274413 0.94274752 0.94478397 0.9521997 ],0.9495423512309644,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_chi_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_mse_z', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_beta_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_beta_Y', 'SPM_chi_z')",0.011032462612126454,0.008583630724516896,0.004291815362258448
11,"(0, 1, 2, 10, 15, 20, 28, 36, 40, 62, 69)",[0.96154468 0.94118186 0.94472603 0.95939362 0.9395054 ],0.9492703175024575,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_2_z', 'Harmonics_phase_6_z', 'SPM_A_Y', 'SPM_chi_z')",0.011982448822865253,0.009322752270906912,0.004661376135453456
31,"(0, 1, 2, 10, 15, 19, 20, 24, 27, 28, 30, 32, 34, 36, 38, 40, 43, 44, 46, 48, 49, 51, 53, 56, 58, 59, 61, 62, 63, 64, 69)",[0.96523644 0.94082481 0.94272949 0.94289955 0.95036187],0.9484104341990856,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_chi_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_chi_i', 'Harmonics_phase_2_i', 'Harmonics_phase_4_i', 'Harmonics_phase_6_i', 'Harmonics_mse_z', 'Harmonics_phase_2_z', 'Harmonics_phase_4_z', 'Harmonics_phase_6_z', 'SPM_gamma_g', 'SPM_beta_g', 'SPM_tau_fall_g', 'SPM_gamma_r', 'SPM_beta_r', 'SPM_tau_fall_r', 'SPM_gamma_i', 'SPM_tau_fall_i', 'SPM_gamma_z', 'SPM_beta_z', 'SPM_tau_fall_z', 'SPM_A_Y', 'SPM_gamma_Y', 'SPM_beta_Y', 'SPM_chi_z')",0.011597669358698161,0.009023380775447913,0.004511690387723956
10,"(0, 1, 2, 10, 15, 20, 28, 36, 62, 69)",[0.95971348 0.93728442 0.94849981 0.95577051 0.93584774],0.9474231910249081,"('g-r', 'r-i', 'i-z', 'Period_band_i', 'Power_rate_2', 'Harmonics_phase_2_r', 'Harmonics_phase_2_i', 'Harmonics_phase_2_z', 'SPM_A_Y', 'SPM_chi_z')",0.012310294279031362,0.009577827173888909,0.0047889135869444545
