feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(1, 2, 3, 4, 5, 10, 11)",[0.88103975 0.90039375 0.88582924 0.85342018 0.89506569],0.883149720880569,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.02100044158688246,0.016339057014836546,0.008169528507418273
"(1, 2, 3, 4, 5, 8, 10, 11)",[0.87726506 0.89695698 0.88424675 0.85536895 0.89145302],0.8810581518797724,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01858404504013709,0.014459018407820386,0.007229509203910192
"(1, 2, 3, 4, 5, 6, 11)",[0.87509231 0.90071343 0.88488057 0.86722178 0.86651176],0.8788839713785717,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Power_rate_4')",0.016418947749987797,0.012774499159972088,0.006387249579986043
"(1, 2, 3, 4, 10, 11)",[0.86578701 0.89630896 0.8893374  0.85281023 0.88971565],0.8787918493469423,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Harmonics_phase_2_r', 'Power_rate_4')",0.021364902046020973,0.016622619634073913,0.008311309817036955
"(1, 2, 3, 4, 5, 8, 9, 11)",[0.89157454 0.88062616 0.87924876 0.8638895  0.87192592],0.8774529778913204,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Power_rate_4')",0.011880827397209791,0.00924368734930304,0.00462184367465152
"(1, 2, 3, 4, 5, 9, 11)",[0.89339868 0.87828285 0.87519322 0.8615383  0.87688896],0.8770604007719649,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'g-r', 'Power_rate_4')",0.013017469437624751,0.010128033472548401,0.005064016736274201
"(1, 2, 3, 4, 8, 10)",[0.87761957 0.90041402 0.87188327 0.85497444 0.87992027],0.8769623127769869,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'delta_period_i', 'Harmonics_phase_2_r')",0.018788360946065452,0.014617983123976008,0.007308991561988004
"(1, 2, 3, 4, 9, 11)",[0.88331824 0.88403604 0.87313944 0.85950267 0.88257489],0.8765142549130432,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'g-r', 'Power_rate_4')",0.012062389728733917,0.009384949011551721,0.00469247450577586
"(1, 2, 3, 4, 5, 6, 8, 11)",[0.87126876 0.89711914 0.88316245 0.86921851 0.86106706],0.8763671814330548,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'delta_period_i', 'Power_rate_4')",0.01613550124165886,0.01255396814679874,0.00627698407339937
"(1, 2, 4, 5, 10, 11)",[0.87407478 0.89669691 0.88338487 0.84929238 0.87765719],0.8762212251816507,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01993157262351298,0.015507440648026815,0.007753720324013407
