feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 3, 7, 8, 10)",[0.93387541 0.93001192 0.93575798 0.94178727 0.93319498],0.9349255131057218,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r')",0.005011563048098663,0.003899166312173148,0.0019495831560865737
"(0, 1, 2, 3, 7, 10)",[0.93387541 0.93001192 0.93575798 0.94178727 0.93319498],0.9349255131057218,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r')",0.005011563048098663,0.003899166312173148,0.0019495831560865737
"(0, 1, 2, 3, 4, 7, 8, 10)",[0.93937403 0.93745908 0.93774524 0.94006987 0.91344853],0.933619348510876,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r')",0.013023413736893617,0.010132658339328722,0.005066329169664361
"(0, 1, 2, 3, 4, 7, 10)",[0.93937403 0.93745908 0.93774524 0.94006987 0.91344853],0.933619348510876,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r')",0.013023413736893617,0.010132658339328722,0.005066329169664361
"(0, 1, 2, 3, 6, 7, 10)",[0.93747238 0.93937377 0.9285839  0.92716597 0.93178374],0.932875952287947,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r')",0.006179221684909358,0.004807644401159297,0.0024038222005796487
"(0, 1, 2, 3, 6, 7, 8, 10)",[0.93747238 0.93937377 0.9285839  0.92716597 0.93178374],0.932875952287947,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r')",0.006179221684909358,0.004807644401159297,0.0024038222005796487
"(0, 1, 3, 5, 6, 7, 8, 10)",[0.93753588 0.93941932 0.92861018 0.92899402 0.92826927],0.9325657353215,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r')",0.006258118545811694,0.004869028839350355,0.0024345144196751775
"(0, 1, 3, 5, 6, 7, 10)",[0.93753588 0.93941932 0.92861018 0.92899402 0.92826927],0.9325657353215,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r')",0.006258118545811694,0.004869028839350355,0.0024345144196751775
"(0, 1, 2, 4, 7, 10)",[0.93729772 0.92974486 0.93558375 0.93962748 0.91881017],0.9322127976057779,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'i-z', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r')",0.009582418396244184,0.007455447061363196,0.0037277235306815977
"(0, 1, 2, 4, 7, 8, 10)",[0.93729772 0.92974486 0.93558375 0.93962748 0.91881017],0.9322127976057779,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'i-z', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r')",0.009582418396244184,0.007455447061363196,0.0037277235306815977
